Trk	Dur	Title	Film Sequence and Musical Themes
1	6:26	Main Title and the Attack on the Jakku Village	0:00: Main title and crawl.
			0:00: Fanfare
			0:06: Luke theme
			"0:26: Luke ""B"" theme (hint of Leia theme)"
			0:48: Luke theme
			"1:26: The First Order star destroyer Finalizer comes into view.  First Order troops head towards Jakku (suspense figures into martial string rhythm, rising brass figures and accents). "
			"2:16: On the surface, BB-8 senses danger, as Lor San Tekka gives Poe a secret map (tremolo string accents, Map Motif in soft winds with harp/strings/celeste, ends with hint of Vader/Imperial theme in strings). "
			"3:07: First Order troops attack the village.  Poe and BB-8 attempt to escape but his X-Wing is disabled.  Poe gives BB-8 the map and tells it to run away.  Finn comforts a fallen comrade, and then panics.  (rhythmic action strings/brass ending in suspended texture)"
			"4:19: Kylo Ren arrives and confronts Lor San Tekka (Kylo Ren Fanfare with tremolo brass accents, poignant strings/brass accents)."
			5:03: Kylo Ren has Captain Phasma order her men to kill all of the villagers.  Finn cannot bring himself to shoot and Kylo Ren notices (dark figures and harmonies ending with Kylo Ren Fanfare).
			"5:48: After seeing Poe's X-Wing destroyed, BB-8 goes off into the desert (soft harp/strings). "
			"6:02: Kylo Ren, Poe and Finn all return to the Finalizer (rising figures in brass/strings)."
2	3:40	The Scavenger	0:00: A scavenger explores a crashed super star destroyer on Jakku (unused: features cor anglais figure/low strings).
			0:37: Rey emerges from the wrecked hulk and takes a drink of water (flute figure based on Rey Main theme). 
			"0:53: She slides down a sand dune and loads up her landspeeder (Rey Intro theme, Rey Small theme developed)."
			"1:31: Rey journeys through the desert terrain back to Niima Outpost (Rey Main theme with Small theme ornaments, Intro theme, Small theme)."
			"2:20: Rey leaves Unkar Plutt's trading counter.  At sunset, Rey prepares a powdered dinner inside her AT-AT shelter (somber brass/strings, harp, Rey Main theme on flute)."
3	3:11	I Can Fly Anything	"0:00: On the Finalizer, Poe and Finn work together to steal a TIE fighter but run into trouble when the ship is still tethered to the bay (alt. version: suspense textures, ""Escape"" rhythmic motif gradually develops over string/brass accents, then snare and brass ""mission"" figures)."
			"0:47: Poe eventually flies the TIE out of the bay (brass fanfares, Escape rhythmic motif on strings, Poe fragment on brass, rhythmic strings/brass figures). "
			"1:19: Finn shoots out two turbo-laser turrets, and introductions are made (sweeping Poe theme, brief Escape motif). "
			"1:48: Kylo Ren orders torpedoes to be engaged, which Finn and Poe proceed to narrowly dodge.  They argue about a flight plan and are hit by a last torpedo (suspense figures, rising brass accents, strings figures based on Escape motif, etc.)."
			2:52: Phasma talks to Hux about Finn's odd behavior (low suspense figures).
4	1:31	Rey Meets BB-8	"0:00: At the Resistance base, Artoo suddenly reactivates and provides the missing part of the map leading to Luke's hidden whereabouts (continues in track 22) (light hesitant figures over tremolo strings, celeste, hopeful strings joined by winds and brass). "
			"1:10: An informant alerts the First Order to BB-8's presence at Maz Kanata's castle (Resistance theme fragment in high winds, suspense textures)."
5	2:55	Follow Me	0:00: Finn tells Rey and BB-8 about what happened to Poe after they crashed on Jakku (somber figures). 
			0:29: Finn pretends to be a Resistance fighter in order to impress Rey (winds lead to plucked strings and a lighter tone). 
			"0:56: BB-8 sees Stormtroopers, and they are soon pursued through the outpost.  After they narrowly escape an aerial attack, Rey leads Finn towards the Millennium Falcon (action cue based on Finn's rhythmic theme with some pensive interludes, leading to Rebel Fanfare in brass at 2:29 when the Falcon comes into view)."
6	3:11	Rey's Theme	"0:00: Rey Small theme on flute, winds."
